"knapsack","kegg"
"C00001897","C09598"
"C00001898","C05315"
"C00001899","C06533"
"C00001900","C09599"
"C00001901","C09604"
"C00001902","C09608"
"C00001903","C09609"
"C00001904","C09610"
"C00001905","C09611"
"C00001906","C05189"
"C00001907","C09612"
"C00001908","C09613"
"C00001909","C09615"
"C00001910","C02105"
"C00001910","C12328"
"C00001911","C09619"
"C00001912","C09624"
"C00001913","C09634"
"C00001914","C09640"
"C00001915","C09642"
"C00001916","C05179"
"C00001917","C06162"
"C00001918","C09643"
"C00001919","C09654"
"C00001920","C09655"
"C00001921","C09656"
"C00001922","C09659"
"C00001923","C09661"
"C00001924","C06173"
"C00001925","C09667"
"C00001926","C09669"
"C00001927","C07547"
"C00001928","C09670"
"C00001929","C09671"
"C00001930","C09850"
"C00001931","C09851"
"C00001932","C09852"
"C00001933","C09855"
"C00001934","C09856"
"C00001935","C09860"
"C00001936","C09862"
"C00001937","C09864"
"C00001938","C09865"
"C00001939","C09866"
"C00001940","C09867"
"C00001941","C09869"
"C00001942","C09872"
"C00001943","C09874"
"C00001944","C09876"
"C00001945","C09878"
"C00001946","C09879"
